,association football club,Salary in thousand U.S. dollars
0,Toronto FC,758.35
1,LA Galaxy,654.57
2,New York City FC,371.98
3,Chicago Fire,611.25
4,Los Angeles FC,509.99
5,Seattle Sounders FC,488.51
6,Portland Timbers,464.96
7,Montreal Impact,438.41
8,Colorado Rapids,307.14
9,Atlanta United,404.91
10,Sporting Kansas City,416.23
11,Orlando City SC,419.11
12,Philadelphia Union,339.82
13,FC Dallas,284.11
14,Real Salt Lake,358.64
15,New England Revolution,408.01
16,Minnesota United FC,379.73
17,San Jose Earthquakes,342.58
18,New York Red Bulls,298.93
19,D.C. United,377.6
20,Columbus Crew SC,366.02
21,Vancouver Whitecaps FC,271.74
22,Houston Dynamo,312.32
23,FC Cincinnati,289.85
