,Beverage companies,Sales in million U.S. dollars
0,Anheuser-Busch InBev,54619
1,Nestlé SA,38737
2,The Coca-Cola Co.,31856
3,PepsiCo Inc.,29744
4,Heineken N.V.,25115
5,Suntory Holdings LTD,22844
6,Starbucks Corp.,19690
7,Diageo PLC,15853
8,Unilever Group§,12874
9,Molson Coors Brewing Co.,10770
10,Pernod Ricard,10044
11,Constellation Brands Inc.,7585
12,Keurig Dr Pepper,7442
13,Red Bull GmbH*,7297
14,Abbott Laboratories,7229
15,Bacardi Ltd.*,6278
16,LVMH Louis Vuitton Moet Hennessy,5748
17,Jacobs Douwe Egberts*,5226
18,Danone Group^,4972
19,The Wonderful Co.*+,4620
20,E. & J. Gallo Winery*,4495
21,Ito En Group,4486
22,Campbell Soup Co.§§,4213
23,Monster Beverage Corp.,3807
24,Brown-Forman Corp.,3248
25,Hormel Foods LLC++,2521
26,Cott Corp.,2373
27,Niagara Bottling LLC*,2231
28,J. M. Smucker Co.,2100
29,Britvic PLC*,1966
30,Davide Campari,1914
31,Treasury Wine Estates,1702
32,D.G. Yuengling & Son Inc.*,1664
33,Lassonde Industries Inc.*,1594
34,Blue Diamond Growers,1567
35,AriZona Beverage Co.*,1340
36,Glanbia PLC^^,1330
37,The Wine Group*,1130
38,Ocean Spray Cranberries Inc.*,1027
39,National Beverage Corp.,1018
40,The Boston Beer Co. Inc.,996
41,Living Essentials LLC*,966
42,Vina Concha y Toro S.A.*,953
43,Trinchero Family Estates,900
44,Peet's Coffee & Tea Inc.*,870
45,Talking Rain Beverage Co.*,863
46,Rockstar Inc.,765
47,Ste. Michelle Wine Estates*,761
48,Freixenet SA*,755
49,Mast-Jägermeister SE,684
