,Year,Inflation rate compared to previous year
0,2025*,1.46%
1,2024*,1.43%
2,2023*,1.38%
3,2022*,1.1%
4,2021*,0.34%
5,2020*,-0.41%
6,2019,0.57%
7,2018,0.44%
8,2017,0.58%
9,2016,-0.53%
10,2015,-0.52%
11,2014,1.03%
12,2013,2.36%
13,2012,4.58%
14,2011,5.25%
15,2010,2.82%
16,2009,0.6%
17,2008,6.63%
18,2007,2.11%
19,2006,0.96%
20,2005,0.47%
21,2004,1.67%
22,2003,0.49%
23,2002,-0.39%
24,2001,1.02%
25,2000,1.35%
26,1999,0.02%
27,1998,-0.27%
28,1997,2.02%
29,1996,1.38%
30,1995,1.73%
31,1994,3.1%
32,1993,2.29%
33,1992,2.24%
34,1991,3.44%
35,1990,3.45%
36,1989,2.29%
37,1988,1.52%
38,1987,0.48%
39,1986,-1.38%
40,1985,0.49%
