,app,Number of downloads in millions
0,"Spotify: Listen to new music, podcasts, and songs",9.31
1,YouTube Music - Stream Songs & Music Videos,4.62
2,Tube Music Downloader - Tubeplay mp3 Downloader,4.26
3,Shazam: Discover songs & lyrics in seconds,3.5
4,"StarMaker: Sing free Karaoke, Record music videos",3.08
5,"JioSaavn Music & Radio – JioTunes, Podcasts, Songs",2.56
6,Wynk Music- New MP3 Hindi Songs Download HelloTune,2.3
7,Drum Pad Machine - Beat Maker & Music Maker,2.27
8,Resso,2.24
9,Gaana Song Hotshots Video Music Free Hindi MP3 App,2.12
