,Quarter,Net income in million U.S. dollars
0,Q3 '20,6331
1,Q2 '20,5243
2,Q1 '20,2535
3,Q4 '19,3268
4,Q3 '19,2134
5,Q2 '19,2625
6,Q1 '19,3561
7,Q4 '18,3027
8,Q3 '18,2883
9,Q2 '18,2534
10,Q1 '18,1629
11,Q4 '17,1856
12,Q3 '17,256
13,Q2 '17,197
14,Q1 '17,724
15,Q4 '16,749
16,Q3 '16,252
17,Q2 '16,857
18,Q1 '16,513
19,Q4 '15,482
20,Q3 '15,79
21,Q2 '15,92
22,Q1 '15,-57
23,Q4 '14,214
24,Q3 '14,-437
25,Q2 '14,-126
26,Q1 '14,108
27,Q4 '13,239
28,Q3 '13,-41
29,Q2 '13,-7
30,Q1 '13,82
31,Q4 '12,97
32,Q3 '12,-274
33,Q2 '12,7
34,Q1 '12,130
35,Q4 '11,177
36,Q3 '11,63
37,Q2 '11,191
38,Q1 '11,201
39,Q4 '10,416
40,Q3 '10,231
41,Q2 '10,207
42,Q1 '10,299
43,Q4 '09,384
44,Q3 '09,199
45,Q2 '09,142
46,Q1 '09,177
