,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,1.99%
3,2021*,1.9%
4,2020*,1.86%
5,2019*,1.54%
6,2018,2.12%
7,2017,2.23%
8,2016,0.97%
9,2015,0.81%
10,2014,1.47%
11,2013,2.12%
12,2012,2.57%
13,2011,3.54%
14,2010,1.69%
15,2009,0.41%
16,2008,3.23%
17,2007,2.2%
18,2006,1.69%
19,2005,2.1%
20,2004,1.96%
21,2003,1.3%
22,2002,1.68%
23,2001,2.3%
24,2000,1.96%
25,1999,0.51%
26,1998,0.82%
27,1997,1.17%
28,1996,1.77%
29,1995,1.61%
30,1994,2.71%
31,1993,3.23%
32,1992,3.43%
33,1991,3.12%
34,1990,2.78%
35,1989,2.25%
36,1988,1.87%
37,1987,1.41%
38,1986,1.74%
39,1985,3.19%
40,1984,5.67%
