,Product name (company),Revenue in million U.S. dollars
0,Copaxone (Teva),3171
1,Tecfidera (Biogen),3118
2,Gilenya (Novartis,1714
3,Avonex (Biogen),1685
4,Invega Sustenna (Janssen),1304
5,Latuda (Sunovion),1286
6,Tysabri (Biogen),1179
7,Rebif (Pfizer),1084
8,Aubagio (Sanofi),923
9,Namenda XR (Allergan),682
10,Seroquel XR (AstraZeneca),633
11,Pristiq (Pfizer),516
12,Ampyra (Acorda),479
13,Abilify Maintena (Otsuka),428
14,Betaseron (Bayer),420
15,Risperdal Consta (J&J),380
16,Abilify (Otsuka),322
17,Plegridy (Biogen),315
18,Trintellix (Takeda),297
19,Wellbutrin XL (Valeant),279
