,baseball team,Revenue multiple
0,New York Yankees,3.3
1,Boston Red Sox,3.1
2,New York Mets,3.0
3,Chicago Cubs,2.7
4,Los Angeles Dodgers,2.7
5,San Diego Padres,2.6
6,St. Louis Cardinals,2.4
7,Texas Rangers,2.4
8,Houston Astros,2.3
9,Minnesota Twins,2.3
10,San Francisco Giants,2.3
11,Seattle Mariners,2.3
12,Atlanta Braves,2.3
13,Chicago White Sox,2.2
14,Philadelphia Phillies,2.2
15,Cleveland Indians,2.2
16,Los Angeles Angels,2.2
17,Arizona Diamondbacks,2.1
18,Florida Marlins,2.1
19,Baltimore Orioles,2.1
20,Kansas City Royals,2.0
21,Colorado Rockies,2.0
22,Tampa Bay Rays,1.9
23,Cincinnati Reds,1.9
24,Pittsburgh Pirates,1.9
25,Milwaukee Brewers,1.9
26,Toronto Blue Jays,1.8
27,Washington Nationals,1.8
28,Oakland Athletics,1.8
29,Detroit Tigers,1.8
