,State,Number of stores
0,California,592
1,Washington,219
2,Texas,208
3,Illinois,183
4,Arizona,134
5,Oregon,122
6,Colorado,105
7,Massachusetts,76
8,New Jersey,73
9,Maryland,65
10,Pennsylvania,50
11,Nevada,50
12,Idaho,42
13,Virginia,38
14,Montana,38
15,New Mexico,34
16,Alaska,26
17,New Hampshire,26
18,Hawaii,23
19,Maine,21
20,Vermont,19
21,Delaware,18
22,New York,16
23,Louisiana,16
24,Wyoming,14
25,District of Columbia,11
26,Rhode Island,8
27,Utah,6
28,Nebraska,5
29,Connecticut,4
30,Indiana,4
31,South Dakota,3
32,North Dakota,1
33,Iowa,1
34,Arkansas,1
