,Country,Inhabitants per square kilometer
0,Barbados,664.46
1,Haiti,398.45
2,Puerto Rico,376.23
3,Grenada,317.13
4,El Salvador,307.81
5,Saint Lucia,293.19
6,Saint Vincent and the Grenadines,281.79
7,Trinidad and Tobago,266.89
8,Jamaica,266.88
9,Antigua and Barbuda,231.85
10,Dominican Republic,222.87
11,Saint Kitts and Nevis,212.87
12,Guatemala,157.83
13,Cuba,110.41
14,Dominica,98.57
15,Costa Rica,96.08
16,Honduras,82.81
17,Ecuador,66.94
18,Mexico,66.44
19,Panama,55.13
20,Nicaragua,51.67
21,Colombia,44.22
22,Bahamas,39.5
23,Venezuela,36.25
24,Regional average,32.14
25,Peru,25.13
26,Brazil,25.04
27,Chile,24.28
28,Uruguay,19.75
29,Paraguay,17.14
30,Belize,16.43
31,Argentina,16.18
32,Bolivia,10.2
33,Guyana,3.95
34,Suriname,3.61
