,Company (Country of origin),Billion U.S. dollars
0,Schwarz Unternehmenstreuhand KG (Germany),111.77
1,Aldi Einkauf GmbH & Co. oHG (Germany)*,98.29
2,Tesco PLC (UK),73.96
3,Ahold Delhaize (formerly Koninklijke Ahold N.V. and Delhaize Group SA [Netherlands])**,72.31
4,Auchan Holding SA (France)**,58.61
5,Edeka Group (Germany)**,57.48
6,Rewe Combine (Germany)**,49.71
7,Casino Guichard-Perrachon S.A. (France)**,42.6
8,Centres Distributeurs E. Leclerc (France)* **,41.54
9,Metro AG (Germany)**,40.96
10,The IKEA Group (INGKA Holding B.V.) (Netherlands),37.43
11,J Sainsbury plc (UK),36.6
12,LVMH Moët Hennessy-Louis Vuitton S.A. (France),33.29
13,ITM Developpement International (Intermarche; France)* **,31.85
14,"Inditex, S.A. (Spain)**",28.89
15,Migros-Genossenschafts Bund (Switzerland)* **,24.53
16,Ceconomy AG (Germany),24.43
17,"Mercadona, SA (Spain)",23.68
18,Coop Group (Switzerland)* **,22.52
19,Wm Morrison Supermarkets PLC (UK),22.43
