,Year,Number of arrests
0,2018,10310960
1,2017,10554985
2,2016,10662252
3,2015,10797088
4,2014,11205833
5,2013,11302102
6,2012,12196959
7,2011,12408899
8,2010,13120947
9,2009,13687241
10,2008,14005615
11,2007,14209365
12,2006,14380370
13,2005,14094186
14,2004,13938071
15,2003,13639500
16,2002,13741400
17,2001,13699300
18,2000,13980300
19,1999,14031100
20,1998,14528300
21,1997,15284300
22,1996,15168100
23,1995,15119800
24,1994,14648700
25,1993,14036300
26,1992,14075100
27,1991,14211900
28,1990,14195100
