,World leaders and foreign ministries with the most mutual Twitter connections,Number of mutual peer connections
0,Foreign Ministry Iceland @MFAIceland,147
1,EU External Action @EU-eeas,145
2,Foreign Office UK @ForeignOffice,145
3,Foreign Ministry Russia @MFA_Russia,145
4,Foreign Ministry Israel @IsraelMFA,127
5,Foreign Ministry Lithuania @LithuaniaMFA,124
6,Foreign Ministry France @FanceDiplo,122
7,Foreign Ministry Denmark @DanishMFA,116
8,Foreign Ministry Belgium @BelgiumMFA,112
9,Foreign Ministry The Netherlands @DutchMFA,112
