,profession,Number of employees
0,Retail salespersons,4209500
1,Cashiers,3439380
2,"Office clerks, general",2815240
3,"Combined food preparation and serving workers, including fast food",2695740
4,Registered nurses,2583770
5,Waiters and waitresses,2302070
6,Customer service representatives,2195860
7,"Laborers and freight, stock, and material movers, hand",2135790
8,"Janitors and cleaners, except maids and housekeeping cleaners",2090400
9,Stock clerks and order fillers,1864410
10,"Secretaries, except legal, medical, and executive",1797670
11,"Bookkeeping, accounting, and auditing clerks",1757870
12,General and operations managers,1689680
13,"Truck drivers, heavy and tractor-trailer",1550930
14,"Elementary school teachers, except special education",1544300
