,Month,Index number of sales per week
0,Jun 20,82.5
1,May 20,21.2
2,Apr 20,30.6
3,Mar 20,74.3
4,Feb 20,104.0
5,Jan 20,92.3
6,Dec 19,103.9
7,Nov 19,96.8
8,Oct 19,101.2
9,Sep 19,88.4
10,Aug 19,84.9
11,Jul 19,95.4
12,Jun 19,94.9
13,May 19,94.6
14,Apr 19,100.9
15,Mar 19,93.5
16,Feb 19,84.6
17,Jan 19,96.7
18,Dec 18,96.0
19,Nov 18,100.9
20,Oct 18,99.1
21,Sep 18,122.8
22,Aug 18,119.4
23,Jul 18,117.1
24,Jun 18,127.3
25,May 18,122.5
26,Apr 18,114.7
27,Mar 18,116.1
28,Feb 18,111.0
29,Jan 18,120.2
30,Dec 17,115.2
31,Nov 17,111.3
32,Oct 17,126.9
33,Sep 17,101.8
34,Aug 17,121.7
35,Jul 17,118.7
36,Jun 17,109.7
37,May 17,118.6
38,Apr 17,105.8
39,Mar 17,117.4
40,Feb 17,116.5
41,Jan 17,103.3
42,Dec 16,101.0
43,Nov 16,105.1
44,Oct 16,99.5
45,Sep 16,94.1
46,Aug 16,94.8
47,July 16,100.4
48,June 16,87.1
49,May 16,92.7
50,April 16,105.7
51,Mar 16,101.9
52,Feb 16,111.0
53,Jan 16,110.6
