,Quarter,Expenditures in trillion U.S. dollars
0,Q3 '20,9.68
1,Q2 '20,10.91
2,Q1 '20,7.49
3,Q4 '19,7.39
4,Q3 '19,7.34
5,Q2 '19,7.26
6,Q1 '19,7.18
7,Q4 '18,7.07
8,Q3 '18,6.99
9,Q2 '18,6.91
10,Q1 '18,6.8
11,Q4 '17,6.7
12,Q3 '17,6.65
13,Q2 '17,6.54
14,Q1 '17,6.51
15,Q4 '16,6.46
16,Q3 '16,6.41
17,Q2 '16,6.32
18,Q1 '16,6.31
19,Q4 '15,6.25
20,Q3 '15,6.23
21,Q2 '15,6.06
22,Q1 '15,6.11
23,Q4 '14,6.07
24,Q3 '14,6.04
25,Q2 '14,5.98
26,Q1 '14,5.92
27,Q4 '13,5.87
28,Q3 '13,5.87
29,Q2 '13,5.85
30,Q1 '13,5.83
31,Q4 '12,5.9
32,Q3 '12,5.8
33,Q2 '12,5.83
34,Q1 '12,5.84
35,Q4 '11,5.87
36,Q3 '11,5.84
37,Q2 '11,5.92
38,Q1 '11,5.86
39,Q4 '10,5.84
40,Q3 '10,5.81
41,Q2 '10,5.86
42,Q1 '10,5.82
43,Q4 '09,5.71
44,Q3 '09,5.66
45,Q2 '09,5.68
46,Q1 '09,5.49
