,Year,Expenditure as share of GDP
0,2019/20,35.4%
1,2018/19,35%
2,2017/18,35.6%
3,2016/17,35.9%
4,2015/16,36.9%
5,2014/15,37.5%
6,2013/14,38.3%
7,2012/13,39.5%
8,2011/12,40.2%
9,2010/11,40.8%
10,2009/10,40.7%
11,2008/09,38.1%
12,2007/08,36%
13,2006/07,35.6%
14,2005/06,35.8%
15,2004/05,35.8%
16,2003/04,35%
17,2002/03,33.7%
18,2001/02,33.1%
19,2000/01,32.6%
20,1999/00,32.1%
21,1998/99,32.5%
22,1997/98,33%
23,1996/97,33%
24,1995/96,34.1%
25,1994/95,34.3%
26,1993/94,34.4%
27,1992/93,34.6%
28,1991/92,32.7%
29,1990/91,30.9%
30,1989/90,30.6%
31,1988/89,31.1%
32,1987/88,33.3%
33,1986/87,34.9%
34,1985/86,35.5%
35,1984/85,36.8%
36,1983/84,36.7%
37,1982/83,37.2%
38,1981/82,37.2%
39,1980/81,36.3%
40,1979/80,34.3%
41,1978/79,34.4%
42,1977/78,34.7%
