,State,Average size of household
0,Utah,3.12
1,Hawaii,3.02
2,California,2.96
3,Texas,2.87
4,Alaska,2.79
5,Georgia,2.7
6,Idaho,2.69
7,New Jersey,2.69
8,Arizona,2.68
9,Florida,2.67
10,Maryland,2.66
11,Nevada,2.65
12,Virginia,2.61
13,Mississippi,2.61
14,Louisiana,2.61
15,Oklahoma,2.58
16,New Mexico,2.58
17,Alabama,2.57
18,New York,2.57
19,South Carolina,2.57
20,Illinois,2.56
21,Delaware,2.56
22,Colorado,2.56
23,Washington,2.55
24,Massachusetts,2.54
25,Tennessee,2.54
26,Arkansas,2.53
27,North Carolina,2.52
28,Connecticut,2.51
29,Rhode Island,2.5
30,Minnesota,2.5
31,Kentucky,2.5
32,Oregon,2.5
33,Indiana,2.5
34,Kansas,2.5
35,New Hampshire,2.47
36,Michigan,2.47
37,South Dakota,2.46
38,Nebraska,2.45
39,Wyoming,2.45
40,Pennsylvania,2.44
41,Missouri,2.44
42,Ohio,2.43
43,Iowa,2.41
44,Montana,2.4
45,West Virginia,2.39
46,Wisconsin,2.39
47,District of Columbia,2.31
48,North Dakota,2.3
49,Vermont,2.3
50,Maine,2.28
