,business,Turnover in billion EUR
0,Volvo AB,38.04
1,E-boks A/S,30.93
2,Glunz & Jensen Holding A/S,26.19
3,A.P. Møller – Mærsk A/S,25.81
4,Volvo Car AB,24.59
5,Nokia Oyj,23.15
6,H&M Hennes & Mauritz AB,22.14
7,"Ericsson, Telefon AB LM",21.78
8,Norsk Tjenestemannslag,19.96
9,Hikoki Power Tools Norway AS,19.51
10,Skanska AB,16.57
11,Vattenfall AB,15.94
12,Norsk Hydro ASA,15.31
13,Scania CV AB,13.35
14,Scania AB,13.35
15,Neste Oyj,13.22
16,Essity AB,12.36
17,"Electrolux, AB",12.08
18,Telenor ASA,11.6
19,ICA Gruppen AB,11.43
