,Type of Fertilizer,Import in tons
0,Ammonium nitrate (solid),938283
1,Ammonium sulfate,274619
2,Anhydrous ammonia,6938744
3,Aqua ammonia,96517
4,Calcium nitrate,42494
5,Chemical mixtures,218463
6,Concentrated super,230240
7,Diammonium phosphate (DAP),101105
8,Monammonium phosphate (MAP),546707
9,Nitrogen solutions,3286246
10,Normal super,1595
11,Other nitrogen fertilizers,462436
12,Phosphate rock,2819510
13,"Phosphoric acid, superphosphoric",5527
14,"Phosphoric acid, wet process",2253
15,Potassium muriate,9215293
16,Potassium nitrate,175416
17,Potassium sulfate,118082
18,Potassium-sodium nitrate,583
19,Sodium nitrate,164132
20,Sulfur,2259686
21,Urea (solid),7654464
