,Year,GDP per capita in U.S. dollars
0,2024*,5666.8
1,2023*,5346.1
2,2022*,5042.55
3,2021*,4755.7
4,2020*,4464.57
5,2019*,4163.76
6,2018,3870.56
7,2017,3884.72
8,2016,3605.72
9,2015,3367.69
10,2014,3533.61
11,2013,3684.0
12,2012,3744.53
13,2011,3688.53
14,2010,3178.13
15,2009,2464.96
16,2008,2418.04
17,2007,2064.23
18,2006,1764.79
19,2005,1403.88
20,2004,1280.7
21,2003,1186.85
22,2002,1002.91
23,2001,834.14
24,2000,870.15
25,1999,829.57
26,1998,572.09
27,1997,1308.11
28,1996,1394.5
29,1995,1254.02
30,1994,1115.61
31,1993,1013.06
32,1992,907.77
33,1991,847.57
34,1990,770.76
35,1989,696.87
36,1988,621.93
37,1987,562.9
38,1986,610.23
39,1985,658.22
40,1984,672.2
