,Response,Share of population
0,United Kingdom,82.9%
1,Germany,79.9%
2,United States,79.1%
3,France,77.5%
4,Spain,74.3%
5,South Korea,70.4%
6,Russia,66.3%
7,Hungary,64%
8,Poland,63%
9,Italy,60.8%
10,Brazil,60%
11,South Africa,60%
12,China,59.9%
13,Russia,59%
14,Greece,59%
15,Japan,57.2%
16,Philippines,55%
17,Iran,54.8%
18,Turkey,54%
19,Mexico,52%
20,Mexico,49.5%
21,Brazil,45.6%
22,EMERGING ECONOMIES MEDIAN,45%
23,Tunisia,45%
24,Vietnam,44.9%
25,Indonesia,42%
26,Kenya,41%
27,Nigeria,39%
28,Philippines,33.6%
29,Indonesia,31.1%
30,India,25.3%
31,Bangladesh,18.5%
32,Pakistan,15.9%
