,Year,GDP in billion international dollars
0,2021*,1893.36
1,2020*,1781.0
2,2019,1923.65
3,2018,1854.03
4,2017,1768.32
5,2016,1686.8
6,2015,1620.45
7,2014,1544.5
8,2013,1495.76
9,2012,1491.41
10,2011,1507.94
11,2010,1489.21
12,2009,1469.59
13,2008,1515.59
14,2007,1473.58
15,2006,1385.14
16,2005,1291.45
17,2004,1208.26
18,2003,1141.01
19,2002,1087.75
20,2001,1042.38
21,2000,981.38
22,1999,913.75
23,1998,859.94
24,1997,813.99
25,1996,770.41
26,1995,738.67
27,1994,694.86
28,1993,664.81
29,1992,658.07
30,1991,637.98
31,1990,601.91
32,1989,558.7
33,1988,512.0
34,1987,469.74
35,1986,433.64
36,1985,410.98
37,1984,389.19
