,Country,Index Value
0,Iceland,8.54
1,Sweden,8.41
2,Denmark,8.36
3,Norway,8.05
4,Finland,7.94
5,Netherlands,7.54
6,Switzerland,7.33
7,France,7.24
8,Austria,7.24
9,New Zealand,7.2
10,Canada,7.14
11,Great Britain,7.14
12,Czech Republic,7.08
13,Luxembourg,6.89
14,Germany,6.89
15,OECD (Total),6.55
16,Belgium,6.54
17,Hungary,6.53
18,Australia,6.34
19,Slovakia,6.02
20,Italy,5.92
21,Portugal,5.91
22,Spain,5.91
23,Japan,5.72
24,Poland,5.57
25,United States,5.56
26,South Korea,5.53
27,Ireland,5.35
28,Chile,5.29
29,Mexico,5.05
30,Greece,5.03
31,Turkey,3.85
