,motorcycle model,Number of motorcycles
0,YAMAHA - MT-07,6645
1,YAMAHA - X MAX 125,5724
2,HONDA - NSS125AD,5200
3,KAWASAKI - Z650,3703
4,KAWASAKI - Z900,3425
5,HONDA - WW125,3412
6,YAMAHA - XP500,3266
7,HONDA - CB500FA,2582
8,YAMAHA - MT-09 TRA,2510
9,BMW - R 1200GS,2254
10,HONDA - X-ADV750,2024
11,B.M.W. - R1200GSAD,1853
12,YAMAHA - MT-09,1850
13,MASH - QM125GY,1745
14,YAMAHA - NMAX 125,1678
15,TRIUMPH - STREETTRI,1640
16,YAMAHA - X MAX 300,1594
17,HONDA - CBF125,1511
18,KAWASAKI - VERSYS,1502
19,K.T.M. - 125DUKE,1429
