,Response,Share of GSCE entries that were C/4 or higher
0,2020,76.3%
1,2019,67.3%
2,2018,69.2%
3,2017,68.7%
4,2016,69.2%
5,2015,70.6%
6,2014,69.8%
7,2013,70.8%
8,2012,69.4%
9,2011,69.8%
10,2010,69.1%
11,2009,67.1%
12,2008,65.7%
13,2007,63.3%
14,2006,62.4%
15,2005,61.2%
16,2004,59.2%
17,2003,58.1%
18,2002,57.9%
19,2001,57.1%
20,2000,56.6%
21,1999,55.8%
22,1998,54.8%
23,1997,54.4%
24,1996,54%
25,1995,53%
26,1994,52.8%
27,1993,51.5%
28,1992,50.5%
29,1991,48.5%
30,1990,47.7%
31,1989,45.6%
32,1988,41.9%
