,Country,Number of cases
0,Brazil,7733746
1,Colombia,1675820
2,Argentina,1640718
3,Mexico,1448755
4,Peru,1018099
5,Chile,618191
6,Panama,253736
7,Ecuador,214614
8,Dominican Republic,173331
9,Costa Rica,169321
10,Bolivia,162661
11,Guatemala,138475
12,Honduras,123369
13,Venezuela,114230
14,Paraguay,109073
15,El Salvador,47087
16,Uruguay,20823
17,Jamaica,13049
18,Cuba,12424
19,Belize,10901
20,Haiti,10127
21,Bahamas,7914
22,Trinidad and Tobago,7168
23,Suriname,6393
24,Guyana,6358
25,Nicaragua,6046
26,Barbados,556
27,Saint Lucia,353
28,Antigua and Barbuda,160
29,Grenada,127
30,Saint Vincent and the Grenadines,124
31,Dominica,88
32,Saint Kitts and Nevis,33
