,Year,Life expectancy in years
0,2020,82.06
1,2015,81.31
2,2010,80.18
3,2005,78.67
4,2000,77.84
5,1995,77.26
6,1990,76.72
7,1985,76.14
8,1980,75.17
9,1975,74.11
10,1970,73.64
11,1965,73.46
12,1960,72.94
13,1955,71.93
14,1950,69.98
15,1945,62.46
16,1940,66.85
17,1935,65.81
18,1930,63.27
19,1925,61.56
20,1920,54.45
21,1915,56.43
22,1910,53.84
23,1905,50.77
24,1900,48.94
25,1895,45.51
26,1890,43.99
27,1885,42.73
28,1880,41.17
29,1875,37.63
30,1870,37.7
31,1865,37.4
32,1860,35.26
33,1855,38.09
34,1850,39.86
