,state of India,Number of teachers
0,Andaman and Nicobar Islands,351
1,Andhra Pradesh,103554
2,Arunachal Pradesh,935
3,Assam,21564
4,Bihar,30582
5,Chandigarh,3237
6,Chhattisgarh,19049
7,Dadra and Nagar Haveli,193
8,Daman and Diu,182
9,Delhi,19676
10,Goa,2704
11,Gujarat,52109
12,Haryana,49438
13,Himachal Pradesh,11004
14,Jammu & Kashmir,10661
15,Jharkhand,9900
16,Karnataka,137458
17,Kerala,53230
18,Lakshadweep,33
19,Madhya Pradesh,70964
20,Maharashtra,163962
21,Manipur,5023
22,Meghalaya,3574
23,Mizoram,1658
24,Nagaland,2029
25,Odisha,41852
26,Puducherry,6855
27,Punjab,52472
28,Rajasthan,73952
29,Sikkim,1410
30,Tamil Nadu,203843
31,Telangana,91932
32,Tripura,2375
33,Uttar Pradesh,157330
34,Uttarakhand,17729
35,West Bengal,50435
