,Region,Average annual salary in yuan
0,Beijing,145766
1,Shanghai,140400
2,Tibet,116015
3,Tianjin,100731
4,Zhejiang,88883
5,Guangdong,88636
6,Qinghai,85379
7,Jiangsu,84688
8,Average,82413
9,Chongqing,78928
10,Ningxia,78384
11,Guizhou,78316
12,Sichuan,77686
13,Hainan,75885
14,Yunnan,75701
15,Xinjiang,75457
16,Anhui,74378
17,Fujian,74316
18,Inner Mongolia,73835
19,Hubei,73777
20,Shandong,73593
21,Shaanxi,71983
22,Gansu,70695
23,Guangxi,70606
24,Hunan,70221
25,Hebei,68717
26,Jiangxi,68573
27,Jilin,68533
28,Liaoning,67324
29,Shanxi,65917
30,Henan,63174
31,Heilongjiang,60780
