,Month,Average mix-adjusted house price in GBP
0,Sep '20,496484.65
1,Jun '20,479149.52
2,Mar '20,482073.7
3,Dec '19,478956.02
4,Sep '19,477146.14
5,June '19,470519.04
6,Mar '19,464162.21
7,Dec '18,473252.26
8,Sep '18,476545.0
9,Jun '18,479931.38
10,Mar '18,472357.07
11,Dec '17,476848.02
12,Sep '17,483832.75
13,Jun '17,480151.93
14,Mar '17,475441.69
15,Dec '16,472373.76
16,Sep '16,471767.07
17,Jun '16,468119.99
18,Mar '16,464647.45
19,Dec '15,450053.16
20,Sep '15,439729.31
21,Jun '15,419474.31
22,Mar '15,404705.9
23,Dec '14,402898.36
24,Sep '14,403669.62
25,Jun '14,387182.1
26,Mar '14,361400.04
27,Dec '13,352028.13
28,Sep  '13,340494.02
29,Jun  '13,324518.34
30,Mar  '13,312289.31
31,Dec '12,313744.23
32,Sep '12,308468.73
33,Jun '12,306823.39
34,Mar '12,290378.61
