,Country,Number of persons
0,Democratic Republic of Congo,12958
1,Burma,4932
2,Ukraine,4451
3,Eritrea,1757
4,Afghanistan,1198
5,Syria,563
6,Iraq,465
7,Sudan,382
8,El Salvador,311
9,Colombia,298
10,Pakistan,264
11,Ethiopia,247
12,Central African Republic,244
13,Somalia,231
14,Iran,199
15,Burundi,196
16,Russia,184
17,Moldova,120
18,Guatemala,118
19,Belarus,96
20,Vietnam,94
21,Rwanda,91
22,Honduras,74
23,Ivory Coast,62
24,Kyrgyzstan,46
25,Republic of South Sudan,42
26,Armenia,33
27,Bhutan,32
28,Palestine,30
29,Cameroon,28
30,Georgia,26
31,Uganda,24
32,Other countries*,167
