,Year,IPC in Mexican pesos
0,10/15/2020,38059.23
1,10/14/2020,38025.72
2,10/13/2020,38131.78
3,10/12/2020,38342.09
4,10/9/2020,38478.58
5,10/8/2020,38404.05
6,10/7/2020,37418.79
7,10/6/2020,36947.87
8,10/5/2020,36740.33
9,10/2/2020,36642.38
10,10/1/2020,36626.11
11,9/30/2020,37458.69
12,9/29/2020,37134.92
13,9/28/2020,37231.5
14,9/25/2020,36583.71
15,9/24/2020,36217.49
16,9/23/2020,35829.58
17,9/22/2020,35853.58
18,9/21/2020,35517.77
19,9/18/2020,36017.35
20,9/17/2020,36130.92
21,9/15/2020,36729.15
22,9/14/2020,36881.99
23,9/11/2020,36334.89
24,9/10/2020,36180.74
25,9/9/2020,36157.96
26,9/8/2020,36071.43
27,9/7/2020,36637.45
28,9/4/2020,36448.5
29,9/3/2020,36429.66
30,9/2/2020,37053.77
31,9/1/2020,37487.99
32,8/31/2020,36840.73
33,8/28/2020,37794.25
34,8/27/2020,37647.19
35,8/26/2020,37753.04
36,8/25/2020,38249.9
37,8/24/2020,38029.62
38,8/21/2020,38095.88
39,8/20/2020,38707.24
40,8/19/2020,39021.92
41,8/18/2020,39087.35
42,8/17/2020,39285.85
43,8/14/2020,38949.88
44,8/13/2020,38615.62
45,8/12/2020,38634.1
46,8/11/2020,38703.59
47,8/10/2020,38289.76
48,8/7/2020,38005.0
49,8/6/2020,37998.34
50,8/5/2020,37901.96
51,8/4/2020,37466.95
52,8/3/2020,37546.72
53,7/31/2020,37019.68
54,7/30/2020,37136.78
55,7/29/2020,37720.84
56,7/28/2020,37771.21
57,7/27/2020,37742.14
58,7/24/2020,37357.46
59,7/23/2020,37433.3
60,7/22/2020,37447.1
61,7/21/2020,36881.67
62,7/20/2020,36323.69
63,7/17/2020,36327.84
64,7/16/2020,36465.67
65,7/15/2020,36590.26
66,7/14/2020,36190.91
67,7/13/2020,36389.39
68,7/10/2020,36465.46
69,7/9/2020,36795.95
70,7/8/2020,37483.88
71,7/7/2020,37837.39
72,7/6/2020,37884.76
73,7/3/2020,37950.0
74,7/2/2020,37894.08
75,7/1/2020,37619.77
76,6/30/2020,37716.43
