,Quarter,Number of unemployed people in thousands
0,Q2 2020,2057
1,Q1 2020,2349
2,Q4 2019,2454
3,Q3 2019,2483
4,Q2 2019,2604
5,Q1 2019,2699
6,Q4 2018,2729
7,Q3 2018,2665
8,Q2 2018,2809
9,Q1 2018,2832
10,Q4 2017,2875
11,Q3 2017,2914
12,Q2 2017,2892
13,Q1 2017,2999
14,Q4 2016,3051
15,Q3 2016,3004
16,Q2 2016,2978
17,Q1 2016,2965
18,Q4 2015,2954
19,Q3 2015,2951
20,Q2 2015,3106
21,Q1 2015,3136
22,Q4 2014,3267
23,Q3 2014,3215
24,Q2 2014,3161
25,Q1 2014,3252
26,Q4 2013,3126
27,Q3 2013,3074
28,Q2 2013,3040
29,Q1 2013,3002
