,Year,GDP per capita in U.S. dollars
0,2025*,9475.79
1,2024*,9019.66
2,2023*,8556.18
3,2022*,8124.93
4,2021*,7674.54
5,2020*,7295.13
6,2019*,7806.96
7,2018,7293.83
8,2017,6594.18
9,2016,5995.08
10,2015,5839.61
11,2014,6079.69
12,2013,6296.19
13,2012,5979.22
14,2011,5600.64
15,2010,5174.53
16,2009,4298.3
17,2008,4471.12
18,2007,4058.39
19,2006,3442.39
20,2005,2955.79
21,2004,2714.64
22,2003,2404.94
23,2002,2133.12
24,2001,1921.67
25,2000,2030.73
26,1999,2057.32
27,1998,1866.6
28,1997,2492.62
29,1996,3071.06
30,1995,2871.56
31,1994,2515.15
32,1993,2234.18
33,1992,2025.52
34,1991,1777.47
35,1990,1571.26
36,1989,1349.93
37,1988,1159.09
38,1987,969.08
39,1986,840.48
40,1985,775.78
