,football club name,Appearances by club
0,Sporting Clube de Portugal,33
1,Club Brugge,31
2,FK Crvena zvezdo,28
3,PC Intemazionale Milano,28
4,Feyenoord,27
5,PAOK FC,27
6,AFC Ajax,27
7,PSV Eindhoven,24
8,FC Girondins de Bordeaux,22
9,SL Benfica,21
10,RSC Anderlecht,21
11,FCSB,21
12,Club Atletieo de Madrid,20
13,Valencia CF,19
14,Athletic Club,18
15,VfB Stuttgart,18
16,SS Lazio,18
17,AS Rama,17
18,Hamburger SV,16
19,Tottenham Hotspur,15
20,Sevilla FC,15
21,Liverpool FC,14
22,AZ Alkmaar,14
23,Juventus,14
24,Villarreal CF,10
