,Organization,Budget authority in million U.S. dollars
0,U.S. Customs and Border Protection,18209.97
1,Federal Emergency Management Agency,14533.08
2,U.S. Coast Guard,12261.14
3,U.S. Immigration and Customs Enforcement,10416.16
4,Transportation Security Administration,8241.79
5,U.S. Citizenship and Immigration Services,4075.09
6,Management Directorate,3350.39
7,Cybersecurity and Infrastructure Security Agency,1757.8
8,Science and Technology Directorate,643.73
9,Countering Weapons of Mass Destruction,377.16
10,Federal Law Enforcement Training Centers,331.48
11,Analysis and Operations,312.64
12,Office of Inspector General,177.78
13,Office of the Secretary and Executive Management,150.36
14,Domestic Nuclear Detection Office,-
