,biotech company,Market capitalization in million U.S. dollars
0,Alnylam Pharmaceuticals,4410
1,Kite Pharma**,4304
2,Neurocine Biosciences,3772
3,bluebird bio,3713
4,Ultragenyx Pharmaceutical**,2828
5,Sage Therapeutics**,2649
6,Agios Pharmaceuticals,2466
7,Intrexon,2353
8,Juno Therapeutics**,2353
9,Portola Pharmaceuticals,2216
10,AveXis,2109
11,Radius Health**,1669
12,Spark Therapeutics**,1656
13,FibroGen**,1575
14,Aerie Therapeutics,1525
15,Blueprint Medicines**,1524
16,Array Biopharma,1511
17,TherapeuticsMD,1422
18,Puma Biotechnology,1375
19,Emergent BioSolutions,1182
