,Year,GDP per capita in U.S. dollars
0,2025*,32288.88
1,2024*,30952.21
2,2023*,29463.5
3,2022*,27782.66
4,2021*,25990.63
5,2020*,22627.47
6,2019,23538.52
7,2018,23459.7
8,2017,20666.67
9,2016,18597.21
10,2015,17842.87
11,2014,19768.84
12,2013,19912.51
13,2012,19739.9
14,2011,21736.84
15,2010,19831.4
16,2009,19787.77
17,2008,22819.46
18,2007,18434.54
19,2006,15206.4
20,2005,13362.34
21,2004,11687.92
22,2003,9777.81
23,2002,8028.36
24,2001,6599.31
25,2000,5997.69
26,1999,6304.16
27,1998,6453.43
28,1997,5993.0
29,1996,6490.09
30,1995,5784.1
