,industry classification,GDP in million chained 2012 Canadian dollars
0,Manufacturing,50712.0
1,Real estate and rental and leasing,42781.6
2,Health care and social assistance,31224.5
3,Public administration,27761.9
4,"Professional, scientific and technical services",24100.2
5,Construction,23800.7
6,Retail trade,22707.9
7,Finance and insurance,22525.1
8,Educational services,22074.7
9,Wholesale trade,20444.9
10,Transportation and warehousing,16315.0
11,Utilities,12983.8
12,Information and cultural industries,12200.1
13,"Administrative and support, waste management and remediation services",10309.0
14,Accommodation and food services,9057.8
15,"Mining, quarrying, and oil and gas extraction",8558.1
16,Other services (except public administration),7971.0
17,"Agriculture, forestry, fishing and hunting",7324.7
18,"Arts, entertainment and recreation",3302.5
19,Management of companies and enterprises,1838.5
