,Response,Share of respondents
0,Immigration,12%
1,Race relations/ racism,8%
2,Donald Trump,8%
3,Parties/ gridlock/ divisions in country,7%
4,"Economy (general), health care/costs/accessibility",6%
5,Unemployment/ lack of jobs,4%
6,Distribution of wealth / Inequality,4%
7,Education/ schools/ affording education,4%
8,Foreign policy (general),4%
9,Crime/violence/judicial system,3%
10,Morality/ ethics/ family values,3%
11,Gun control/ too many guns,3%
12,Lack of humanity/ respect,3%
13,Environment/ global warming,2%
14,Dissatisfaction with government/ politics/ corruption,2%
15,Defense/ national security,2%
