,Country,Number of skiers in thousands
0,Germany,14607
1,France,8574
2,United Kingdom,6340
3,Poland,4937
4,Italy,4844
5,Russia,4275
6,Austria,2960
7,Switzerland,2959
8,Spain,2329
9,Czech Republic,2236
10,Sweden,1824
11,Finland,1264
12,Belgium,1253
13,Norway,1181
14,Ukraine,1114
15,Slovakia,979
16,Turkey,807
17,Denmark,667
18,Romania,588
19,Hungary,587
20,Bulgaria,349
21,Slovenia,299
22,Kazakhstan,266
23,Croatia,227
24,Greece,215
25,Serbia,211
26,Portugal,206
27,Latvia,194
28,Belarus,190
29,Bosnia and Herzegovina,175
30,Macedonia,156
31,Lithuania,141
32,Georgia,93
33,Azerbaijan,72
34,Estonia,63
35,Iceland,63
36,Armenia,59
37,Albania,29
38,Andorra,15
39,Liechtenstein,14
