,Month,Exchange rate
0,Nov '20,1.08
1,Oct' 20,1.07
2,Sep '20,1.08
3,Aug '20,1.08
4,Jul '20,1.08
5,Jun '20,1.07
6,May '20,1.07
7,Apr '20,1.06
8,Mar '20,1.06
9,Feb '20,1.06
10,Jan '20,1.07
11,Dec '19,1.09
12,Nov '19,1.1
13,Oct '19,1.1
14,Sep '19,1.08
15,Aug '19,1.09
16,Jul '19,1.1
17,Jun '19,1.11
18,May '19,1.12
19,Apr '19,1.14
20,Mar '19,1.12
21,Feb '19,1.13
22,Jan '19,1.14
23,Dec '18,1.13
24,Nov '18,1.13
25,Oct '18,1.14
26,Sep '18,1.13
27,Aug '18,1.13
28,Jul '18,1.16
29,Jun '18,1.16
30,May '18,1.15
31,Apr '18,1.2
32,Mar '18,1.18
33,Feb '18,1.15
34,Jan '18,1.16
35,Dec '17,1.17
36,Nov '17,1.17
37,Oct '17,1.16
38,Sep '17,1.15
39,Aug '17,1.14
40,Jul '17,1.14
41,Jun '17,1.09
42,May '17,1.09
43,Apr '17,1.08
44,Mar '17,1.07
45,Feb '17,1.06
46,Jan '17,1.07
47,Dec '16,1.08
48,Nov '16,1.08
49,Oct '16,1.09
50,Sep '16,1.09
51,Aug '16,1.1
52,Jul '16,1.08
53,Jun '16,1.09
54,May '16,1.1
55,Apr '16,1.1
56,Mar '16,1.09
57,Feb '16,1.09
58,Jan '16,1.11
59,Dec '15,1.08
60,Nov '15,1.09
61,Oct '15,1.09
62,Sep '15,1.09
63,Aug '15,1.08
64,Jul '15,1.06
65,Jun '15,1.04
66,May '15,1.03
67,Apr '15,1.05
68,Mar '15,1.05
69,Feb '15,1.06
70,Jan '15,1.05
71,Dec '14,1.2
72,Nov '14,1.2
73,Oct '14,1.21
74,Sep '14,1.21
75,Aug '14,1.21
76,Jul '14,1.22
77,Jun '14,1.22
78,May '14,1.22
79,Apr '14,1.22
80,Mar '14,1.22
81,Feb '14,1.22
82,Jan '14,1.22
