,Quarter,Viewers in thousands
0,Q1 2012,33579
1,Q2 2012,33812
2,Q3 2012,33428
3,Q4 2012,34926
4,Q1 2013,34698
5,Q2 2013,32159
6,Q3 2013,30436
7,Q4 2013,34265
8,Q1 2014,34396
9,Q2 2014,32888
10,Q3 2014,32705
11,Q4 2014,32769
12,Q1 2015,32814
13,Q2 2015,31069
14,Q3 2015,31038
15,Q4 2015,28950
16,Q1 2016,32585
17,Q2 2016,29536
18,Q3 2016,30749
19,Q4 2016,31865
20,Q1 2017,30431
21,Q2 2017,28061
22,Q3 2017,29617
23,Q4 2017,31802
24,Q1 2018,31870
25,Q2 2018,28863
26,Q3 2018,30394
27,Q4 2018,31341
28,Q1 2019,30495
29,Q2 2019,28828
30,Q3 2019,30155
