,Quarter,Net income in million U.S. dollars
0,Q4 '19,7349
1,Q3 '19,6091
2,Q2 '19,2616
3,Q1 '19,2429
4,Q4 '18,6882
5,Q3 '18,5137
6,Q2 '18,5106
7,Q1 '18,4988
8,Q4 '17,4268
9,Q3 '17,4707
10,Q2 '17,3894
11,Q1 '17,3064
12,Q4 '16,3568
13,Q3 '16,2627
14,Q2 '16,2283
15,Q1 '16,1738
16,Q4 '15,1562
17,Q3 '15,896
18,Q2 '15,719
19,Q1 '15,512
20,Q4 '14,701
21,Q3 '14,806
22,Q2 '14,791
23,Q1 '14,642
24,Q4 '13,523
25,Q3 '13,425
26,Q2 '13,333
27,Q1 '13,219
28,Q4 '12,64
29,Q3 '12,-59
30,Q2 '12,-157
31,Q1 '12,205
32,Q4 '11,302
33,Q3 '11,227
34,Q2 '11,240
35,Q1 '11,233
36,Q4 '10,251
37,Q3 '10,131
38,Q2 '10,129
39,Q1 '10,95
