,Month,Number of new cases
0,"Dec 16, 2020",8815
1,"Dec 15, 2020",7012
2,"Dec 14, 2020",3542
3,"Dec 13, 2020",3058
4,"Dec 12, 2020",6542
5,"Dec 11, 2020",7723
6,"Dec 10, 2020",6705
7,"Dec 9, 2020",8397
8,"Dec 8, 2020",7451
9,"Dec 7, 2020",3775
10,"Dec 6, 2020",1803
11,"Dec 5, 2020",4866
12,"Dec 4, 2020",7340
13,"Dec 3, 2020",6989
14,"Dec 2, 2020",6547
15,"Dec 1, 2020",5815
16,"Nov 30, 2020",3487
17,"Nov 29, 2020",2754
18,"Nov 28, 2020",3825
19,"Nov 27, 2020",6463
20,"Nov 26, 2020",6906
21,"Nov 25, 2020",6062
22,"Nov 24, 2020",5676
23,"Nov 23, 2020",3875
24,"Nov 22, 2020",2423
25,"Nov 21, 2020",4496
26,"Nov 20, 2020",5462
27,"Nov 19, 2020",7628
28,"Nov 18, 2020",4962
29,"Nov 17, 2020",4460
30,"Nov 16, 2020",2544
31,"Nov 15, 2020",1582
32,"Nov 14, 2020",3515
33,"Nov 13, 2020",6738
34,"Nov 12, 2020",5634
35,"Nov 11, 2020",5757
36,"Nov 10, 2020",4557
37,"Nov 9, 2020",3726
38,"Nov 8, 2020",2098
39,"Nov 7, 2020",4453
40,"Nov 6, 2020",4455
41,"Nov 5, 2020",4746
42,"Nov 4, 2020",4485
43,"Nov 3, 2020",3610
44,"Nov 2, 2020",1570
45,"Nov 1, 2020",1298
46,"Oct 31, 2020",2987
47,"Oct 30, 2020",4056
48,"Oct 29, 2020",3262
49,"Oct 28, 2020",3390
50,"Oct 27, 2020",2415
51,"Oct 26, 2020",1070
52,"Oct 25, 2020",516
53,"Oct 24, 2020",1477
54,"Oct 23, 2020",1869
55,"Oct 22, 2020",1667
56,"Oct 21, 2020",1571
57,"Oct 20, 2020",1291
58,"Oct 19, 2020",770
59,"Oct 18, 2020",321
60,"Oct 17, 2020",697
61,"Oct 16, 2020",1180
62,"Oct 15, 2020",902
63,"Oct 14, 2020",968
64,"Oct 13, 2020",916
65,"Oct 12, 2020",637
66,"Oct 11, 2020",161
67,"Oct 10, 2020",509
68,"Oct 9, 2020",783
69,"Oct 8, 2020",834
70,"Oct 7, 2020",831
71,"Oct 6, 2020",786
72,"Oct 5, 2020",374
73,"Oct 4, 2020",155
74,"Oct 3, 2020",461
75,"Oct 2, 2020",712
76,"Oct 1, 2020",633
77,"Sep 30, 2020",688
78,"Sep 29, 2020",613
79,"Sep 28, 2020",378
80,"Sep 27, 2020",167
81,"Sep 26, 2020",325
82,"Sep 25, 2020",629
83,"Sep 24, 2020",540
84,"Sep 23, 3030",553
85,"Sep 22, 2020",438
86,"Sep 21, 2020",266
87,"Sep 20, 2020",133
88,"Sep 19, 2020",279
89,"Sep 18, 2020",437
90,"Sep 17, 2020",389
91,"Sep 16, 2020",330
92,"Sep 15, 2020",292
93,"Sep 14, 2020",220
94,"Sep 13, 2020",106
95,"Sep 12, 2020",206
96,"Sep 11, 2020",291
97,"Sep 10, 2020",255
98,"Sep 9, 2020",314
99,"Sep 8, 2020",236
100,"Sep 7, 2020",185
101,"Sep 6, 2020",67
102,"Sep 5, 2020",171
103,"Sep 4, 2020",262
104,"Sep 3, 2020",286
105,"Sep 2, 2020",213
106,"Sep 1, 2020",171
107,"Aug 31, 2020",162
108,"Aug 30, 2020",48
109,"Aug 29, 2020",131
110,"Aug 28, 2020",179
111,"Aug 27, 2020",202
112,"Aug 26, 2020",244
113,"Aug 25, 2020",222
114,"Aug 24, 2020",174
115,"Aug 23, 2020",57
116,"Aug 22, 2020",160
117,"Aug 21, 2020",298
