,Month,Units sold
0,Dec '19,293
1,Nov '19,358
2,Oct '19,593
3,Sep '19,950
4,Aug '19,566
5,Jul '19,843
6,Jun '19,870
7,May '19,816
8,Apr '19,726
9,Mar '19,1069
10,Feb '19,248
11,Jan '19,368
12,Dec '18,278
13,Nov '18,354
14,Oct '18,494
15,Sep '18,744
16,Aug '18,588
17,Jul '18,804
18,Jun '18,1090
19,May '18,1086
20,Apr '18,863
21,Mar '18,1320
22,Feb '18,314
23,Jan '18,347
24,Dec '17,245
25,Nov '17,429
26,Oct '17,644
27,Sep '17,847
28,Aug '17,592
29,Jul '17,800
30,Jun '17,1019
31,May '17,952
32,Apr '17,857
33,Mar '17,1079
34,Feb '17,230
35,Jan '17,340
