,Year,Gross domestic product in billion U.S. dollars
0,2024*,232.1
1,2023*,219.57
2,2022*,209.76
3,2021*,200.74
4,2020*,195.23
5,2019*,191.85
6,2018,191.36
7,2017,166.93
8,2016,151.73
9,2015,161.74
10,2014,206.23
11,2013,198.73
12,2012,186.83
13,2011,167.78
14,2010,125.12
15,2009,97.8
16,2008,115.27
17,2007,79.71
18,2006,60.88
19,2005,44.53
20,2004,31.73
21,2003,23.53
22,2002,19.36
23,2001,17.54
24,2000,17.76
25,1999,12.39
26,1998,10.26
27,1997,11.3
28,1996,9.06
29,1995,8.14
30,1994,7.37
31,1993,7.16
32,1992,7.65
33,1991,6.88
34,1990,7.36
35,1989,5.29
36,1988,5.0
37,1987,5.22
38,1986,4.95
39,1985,6.27
40,1984,6.7
