,Quarter,Number of Bitcoins in millions
0,Q3 '20,18.5
1,Q2 '20,18.42
2,Q1 '20,18.3
3,Q4 '19,18.13
4,Q3 '19,17.97
5,Q2 '19,17.79
6,Q1 '19,17.62
7,Q4 '18,17.45
8,Q3 '18,17.3
9,Q2 '18,17.12
10,Q1 '18,16.95
11,Q4 '17,16.78
12,Q3 '17,16.6
13,Q2 '17,16.42
14,Q1 '17,16.25
15,Q4 '16,16.08
16,Q3 '16,15.9
17,Q2 '16,15.72
18,Q1 '16,15.38
19,Q4 '15,15.03
20,Q3 '15,14.67
21,Q2 '15,14.33
22,Q1 '15,14.0
23,Q4 '14,13.67
24,Q3 '14,13.33
25,Q2 '14,12.97
26,Q1 '14,12.59
27,Q4 '13,12.2
28,Q3 '13,11.77
29,Q2 '13,11.35
30,Q1 '13,10.97
31,Q4 '12,10.61
