,Quarter,Number of users in millions
0,Q3 '20,255
1,Q2 '20,256
2,Q1 '20,253
3,Q4 '19,248
4,Q3 '19,247
5,Q2 '19,244
6,Q1 '19,243
7,Q4 '18,242
8,Q3 '18,242
9,Q2 '18,241
10,Q1 '18,241
11,Q4 '17,239
12,Q3 '17,239
13,Q2 '17,236
14,Q1 '17,234
15,Q4 '16,231
16,Q3 '16,229
17,Q2 '16,226
18,Q1 '16,222
19,Q4 '15,219
20,Q3 '15,217
21,Q2 '15,213
22,Q1 '15,210
23,Q4 '14,208
24,Q3 '14,206
25,Q2 '14,204
26,Q1 '14,202
27,Q4 '13,201
28,Q3 '13,199
29,Q2 '13,198
30,Q1 '13,195
31,Q4 '12,193
32,Q3 '12,189
33,Q2 '12,186
34,Q1 '12,183
35,Q4 '11,179
36,Q3 '11,176
37,Q2 '11,169
38,Q1 '11,163
39,Q4 '10,154
40,Q3 '10,144
41,Q2 '10,137
42,Q1 '10,130
