,Cause Of Death,Number of deaths
0,Diseases of the circulatory system,30295
1,Neoplasms,23502
2,Diseases of the respiratory system,6997
3,Mental and behavioural disorders,6826
4,Diseases of the nervous system,5702
5,External causes of morbidity and mortality (injuries and poisonings),5202
6,Diseases of the digestive system,2867
7,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2865
8,"Endocrine, nutritional and metabolic diseases",2848
9,Certain infectious and parasitic diseases,2262
10,Diseases of the genitourinary system,1502
11,Diseases of the musculoskeletal system and connective tissue,462
12,"Congenital malformations, deformations and chromosomal abnormalities",294
13,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,287
14,Diseases of the skin and subcutaneous tissue,209
15,Certain conditions originating in the perinatal period,128
16,"Pregnancy, childbirth and the puerperium",5
17,Diseases of the ear and mastoid process,1
