,Year,Inflation rate compared to previous year
0,2024*,3%
1,2023*,3.05%
2,2022*,2.97%
3,2021*,3.27%
4,2020*,3.36%
5,2019*,3.37%
6,2018,2.85%
7,2017,2.41%
8,2016,0.42%
9,2015,-0.07%
10,2014,-0.22%
11,2013,1.72%
12,2012,5.67%
13,2011,3.92%
14,2010,4.87%
15,2009,4.2%
16,2008,6.05%
17,2007,7.97%
18,2006,3.92%
19,2005,3.56%
20,2004,6.75%
21,2003,4.66%
22,2002,5.27%
23,2001,9.16%
24,2000,9.78%
25,1999,10.02%
26,1998,14.17%
27,1997,18.29%
28,1996,23.46%
29,1995,28.3%
30,1994,18.87%
31,1993,22.45%
32,1992,22.95%
33,1991,34.23%
34,1990,28.97%
35,1989,16.95%
36,1988,15.79%
37,1987,8.68%
38,1986,5.29%
39,1985,7.01%
40,1984,8.65%
