,Year,Inflation rate compared to previous year
0,2025*,2.17%
1,2024*,2.24%
2,2023*,2.33%
3,2022*,2.42%
4,2021*,2.12%
5,2020*,1.78%
6,2019*,1.34%
7,2018,2.27%
8,2017,1.5%
9,2016,-0.33%
10,2015,1.88%
11,2014,1.18%
12,2013,0.45%
13,2012,1.91%
14,2011,3.06%
15,2010,1.62%
16,2009,1.67%
17,2008,4.43%
18,2007,2.41%
19,2006,1.96%
20,2005,1.82%
21,2004,1.16%
22,2003,3.66%
23,2002,1.5%
24,2001,2.36%
25,2000,1.73%
26,1999,1.12%
27,1998,1.21%
28,1997,0.56%
29,1996,1.26%
30,1995,2.02%
31,1994,1.37%
32,1993,2.75%
33,1992,5.58%
34,1991,7.3%
35,1990,4.63%
36,1989,5.41%
37,1988,4.05%
38,1987,5.99%
39,1986,5.41%
40,1985,4.62%
