,Quarter,Revenue in million U.S. dollars
0,Q2 '20,1348
1,Q1 '20,1209
2,Q4 '19,1238
3,Q3 '19,1289
4,Q2 '19,1286
5,Q1 '19,1137
6,Q4 '18,1582
7,Q3 '18,1160
8,Q2 '18,959
9,Q1 '18,1449
10,Q4 '17,1527
11,Q3 '17,1149
12,Q2 '17,898
13,Q1 '17,1271
14,Q4 '16,1308
15,Q3 '16,1070
16,Q2 '16,815
17,Q1 '16,1203
18,Q4 '15,1185
19,Q3 '15,1126
20,Q2 '15,990
21,Q1 '15,1214
22,Q4 '14,1123
23,Q3 '14,808
24,Q2 '14,695
25,Q1 '14,949
26,Q4 '13,1209
27,Q3 '13,922
28,Q2 '13,711
29,Q1 '13,955
30,Q4 '12,1368
31,Q3 '12,1061
32,Q2 '12,715
33,Q1 '12,999
34,Q4 '11,1090
35,Q3 '11,1053
36,Q2 '11,631
37,Q1 '11,815
38,Q4 '10,979
39,Q3 '10,1243
