,Country,Public,Private
0,Norway,1.8%,0.1%
1,Austria,1.6%,0.1%
2,Finland,1.5%,0.1%
3,Turkey,1.4%,0.5%
4,Sweden,1.4%,0.2%
5,Switzerland,1.3%,-
6,Canada,1.2%,1.1%
7,Belgium,1.2%,0.2%
8,Estonia,1.2%,0.2%
9,Netherlands,1.1%,0.5%
10,France,1.1%,0.3%
11,Argentina,1.1%,-
12,Iceland,1.1%,0.1%
13,Chile,1%,1.7%
14,Brazil,1%,-
15,Germany,1%,0.2%
16,Mexico,0.9%,0.4%
17,Poland,0.9%,0.2%
18,New Zealand,0.9%,0.9%
19,Australia,0.8%,1.2%
20,Israel,0.8%,0.6%
21,Slovenia,0.8%,0.1%
22,Colombia,0.8%,0.8%
23,Spain,0.8%,0.4%
24,Latvia,0.7%,0.3%
25,Korea,0.7%,1.1%
26,Slovak Republic,0.7%,0.3%
27,Czech Republic,0.7%,0.2%
28,Lithuania,0.7%,0.3%
29,Portugal,0.7%,0.4%
30,Russian Federation,0.7%,0.4%
31,Hungary,0.7%,0.4%
32,Greece,0.6%,-
33,Ireland,0.6%,0.2%
34,South Africa,0.6%,-
35,Italy,0.5%,0.3%
36,United Kingdom,0.5%,1.2%
37,Japan,0.4%,1%
38,Luxembourg,0.4%,0%
