,Quarter,Net income in billion U.S. dollars
0,Q3 '20,2.02
1,Q2 '20,2.99
2,Q1 '20,2.15
3,Q4'19,3.16
4,Q3'19,3.22
5,Q2'19,3.13
6,Q1'19,3.55
7,Q4'18,2.51
8,Q3'18,2.89
9,Q2'18,3.22
10,Q1'18,3.12
11,Q4'17,14.99
12,Q3'17,2.65
13,Q2'17,2.51
14,Q1'17,2.57
15,Q4'16,2.3
16,Q3'16,2.24
17,Q2'16,2.03
18,Q1'16,2.13
19,Q4'15,1.97
20,Q3'15,2.04
21,Q2'15,2.14
22,Q1'15,2.06
23,Q4'14,1.93
24,Q3'14,2.59
25,Q2'14,1.99
26,Q1'14,1.87
27,Q4'13,1.91
28,Q3'13,1.73
29,Q2'13,1.73
30,Q1'13,1.44
31,Q4'12,1.52
32,Q3'12,2.11
33,Q2'12,1.35
34,Q1'12,1.22
35,Q4'11,1.29
36,Q3'11,0.91
37,Q2'11,1.02
38,Q1'11,0.94
39,Q4'10,1.02
40,Q3'10,0.87
41,Q2'10,0.88
42,Q1'10,0.87
