,Baseball player,Number of runs scored
0,Rickey Henderson,2295
1,Ty Cobb,2245
2,Barry Bonds,2227
3,Hank Aaron,2174
4,Babe Ruth,2174
5,Pete Rose,2165
6,Willie Mays,2062
7,Alex Rodriguez,2021
8,Cap Anson,1999
9,Stan Musial,1949
10,Derek Jeter,1923
11,Lou Gehrig,1888
12,Tris Speaker,1882
13,Mel Ott,1859
14,Craig Biggio,1844
15,Albert Pujols,1843
16,Frank Robinson,1829
17,Eddie Collins,1821
18,Carl Yastrzemski,1816
19,Ted Williams,1798
20,Paul Molitor,1782
21,Charlie Gehringer,1775
22,Jimmie Foxx,1751
23,Honus Wagner,1739
24,Jim O'Rourke,1729
25,Jesse Burkett,1720
26,Willie Keeler,1719
27,Billy Hamilton,1697
28,Bid McPhee,1684
29,Mickey Mantle,1676
