,Religious Minority Group,Number of Italian citizens belonging to religious minorities
0,Muslims,417900
1,Jehovah's Witnesses (and analogous),409100
2,Protestants,382400
3,Orthodox Christians,320800
4,Buddhists,205500
5,Hindus and neo-Hindus,47500
6,Jews,36500
7,Human potential groups,30000
8,Mormons (and analogous),27800
9,"""Fringe"" and dissident Roman Catholics",24800
10,"Sikhs, Radha Swami and derivative groups",20500
11,Organized New Age and Next Age groups,20000
12,"Esoteric and ""ancient wisdom"" groups",16500
13,Other Christian creeds,7800
14,Other oriental groups,5800
15,Baha'is and other religions of Islamic inspiration,4400
16,Osho and derivative groups,4000
17,New Japanese Religions,3600
18,Other,14500
