,Type of Institution,Number of institutions
0,Total,3175
1,Comprehensive schools*,2187
2,Comprehensive school level special education schools,63
3,Upper secondary general schools,335
4,Comprehensive and upper secondary general level schools,42
5,Vocational institutes,84
6,Specialised vocational institutes,19
7,Special needs vocational institutes,5
8,Vocational adult education centres,10
9,"Fire, police and security service institutes",1
10,Military vocational institutes,6
11,Universities of applied sciences,25
12,Universities,13
13,Military academies,1
14,Music schools and colleges,84
15,Sports institutes,13
16,Folk high schools,73
17,Adult education centres,177
18,Summer universities,19
19,Study circle centres,12
20,Other educational institutions,6
