,Year,GDP per capita in U.S. dollars
0,2025*,35474.43
1,2024*,33910.26
2,2023*,32313.32
3,2022*,30628.82
4,2021*,28734.21
5,2020*,25038.79
6,2019,25992.07
7,2018,26154.8
8,2017,23498.09
9,2016,21640.27
10,2015,20898.91
11,2014,24263.96
12,2013,23378.09
13,2012,22563.16
14,2011,25040.52
15,2010,23499.59
16,2009,24785.05
17,2008,27784.01
18,2007,23959.17
19,2006,19777.13
20,2005,18222.58
21,2004,17282.62
22,2003,14905.1
23,2002,11841.81
24,2001,10501.87
25,2000,10286.1
26,1999,11498.63
27,1998,11157.74
28,1997,10463.46
29,1996,10797.09
30,1995,10708.57
