,Quarter,Number of monthly active users in millions
0,Q1 '19,68
1,Q4 '18,66
2,Q3 '18,67
3,Q2 '18,68
4,Q1 '18,69
5,Q4 '17,68
6,Q3 '17,69
7,Q2 '17,68
8,Q1 '17,69
9,Q4 '16,67
10,Q3 '16,67
11,Q2 '16,66
12,Q1 '16,65
13,Q4 '15,65
14,Q3 '15,66
15,Q2 '15,65
16,Q1 '15,65
17,Q4 '14,63
18,Q3 '14,63
19,Q2 '14,60
20,Q1 '14,57
21,Q4 '13,54
22,Q3 '13,53
23,Q2 '13,49
24,Q1 '13,48
25,Q4 '12,45
26,Q3 '12,40
27,Q2 '12,37
28,Q1 '12,34
29,Q4 '11,30
30,Q3 '11,27
31,Q2 '11,23
32,Q1 '11,19
33,Q4 '10,15
34,Q3 '10,14
35,Q2 '10,12
36,Q1 '10,10
