,Industry,Real value added in billion chained 2012 Canadian dollars
0,Government sector,322.3
1,Manufacturing,201.12
2,Non-profit institutions,187.9
3,Mining and oil and gas extraction,147.76
4,Construction,141.13
5,"Finance and insurance, and holding companies",137.53
6,"Professional, scientific and technical services",117.61
7,Wholesale trade,102.15
8,Retail trade,102.02
9,Transportation and warehousing,87.39
10,"Real estate, rental and leasing",87.36
11,Information and cultural industries,61.48
12,Health care and social assistance,52.9
13,"Administrative and support, waste management and remediation services",51.8
14,Accommodation and food services,44.16
15,Utilities,40.72
16,"Agriculture, forestry, fishing and hunting",40.28
17,Other private services,28.09
18,"Arts, entertainment and recreation",12.5
19,Educational services,3.78
