,Year,Inflation rate compared to previous year
0,2025*,2.75%
1,2024*,2.25%
2,2023*,1.8%
3,2022*,1.4%
4,2021*,0.85%
5,2020*,0.78%
6,2019,2.1%
7,2018,2.22%
8,2017,1.63%
9,2016,-0.02%
10,2015,0.8%
11,2014,4.52%
12,2013,5.23%
13,2012,4.5%
14,2011,4.88%
15,2010,5.66%
16,2009,7.84%
17,2008,13.43%
18,2007,9.36%
19,2006,11.47%
20,2005,13.79%
21,2004,12.32%
22,2003,9.44%
23,2002,9.17%
24,2001,11.26%
25,2000,10.95%
26,1999,10.05%
27,1998,11.67%
28,1997,13.25%
29,1996,17.51%
30,1995,23.18%
31,1994,13.54%
32,1993,9.78%
33,1992,21.81%
34,1991,28.67%
35,1990,19.07%
36,1989,16.49%
37,1988,20.85%
38,1987,16.81%
39,1986,11.79%
40,1985,15.13%
