,Month,Price in GBP per kilogram
0,Nov '19,2.34
1,Oct '19,2.61
2,Aug '19,1.8
3,Jul '19,1.67
4,Jun '19,1.54
5,May '19,1.65
6,Nov '18,0.93
7,Oct '18,1.24
8,Sep '18,1.55
9,Aug '18,1.0
10,Jul '18,1.15
11,Jun '18,1.43
12,May '18,2.09
13,Apr '18,3.24
14,Dec '17,1.05
15,Nov '17,0.84
16,Oct '17,2.49
17,Sep '17,2.19
18,Aug '17,2.31
19,Jul '17,1.92
20,Jun '17,2.31
21,May '17,2.97
22,Apr '17,3.68
23,Dec '16,1.9
24,Nov '16,2.43
25,Oct '16,2.3
26,Sep '16,2.39
27,Aug '16,2.26
28,Jul '16,2.13
29,Jun '16,1.65
30,May '16,2.15
31,Apr '16,2.17
32,Nov '15,2.31
33,Oct '15,2.81
34,Sep '15,2.11
35,Aug '15,1.84
36,Jul '15,2.04
37,Jun '15,2.02
38,May '15,2.57
39,Apr '15,2.91
